Category,Title,Exp_Years,Key_Skills,Location,Salary_Min,Salary_Max,Employment,Remote,Summary
Фронтенд-разработчик,Frontend Developer,3-5,"React, TypeScript, Redux, Webpack, CSS3",Москва,90000,150000,Полная,Да,"Разработка современных веб-интерфейсов. Работа в команде."
Фронтенд-разработчик,Senior Frontend Developer,5-7,"Vue.js, Nuxt, Pinia, Vite, Testing",Санкт-Петербург,130000,220000,Полная,Гибрид,"Архитектура фронтенда. Менторство. Код-ревью."
Фронтенд-разработчик,Frontend Developer (React),3-5,"React, Hooks, Redux Toolkit, Material-UI",Москва,95000,160000,Полная,Удалённо,"Разработка SPA. Интеграция с API. Оптимизация."
Фронтенд-разработчик,Frontend Team Lead,6-8,"React, TypeScript, Architecture, Leadership",Москва,180000,290000,Полная,Гибрид,"Руководство командой. Архитектурные решения."
Фронтенд-разработчик,Junior Frontend Developer,1-2,"HTML, CSS, JavaScript, React, Git",Регионы,50000,80000,Полная,Удалённо,"Начальная позиция. Обучение. Помощь в разработке."
Бэкенд-разработчик,Backend Developer,3-6,"Node.js, Express, PostgreSQL, Redis, Docker",Москва,100000,170000,Полная,Да,"REST API. Микросервисы. Оптимизация."
Бэкенд-разработчик,Senior Backend Developer,6-8,"Python, FastAPI, Kafka, Kubernetes, AWS",Санкт-Петербург,150000,250000,Полная,Гибрид,"Высоконагруженные системы. Архитектура."
Бэкенд-разработчик,Backend Developer (Java),4-6,"Java, Spring Boot, MySQL, RabbitMQ, AWS",Москва,115000,185000,Полная,Нет,"Микросервисы. Безопасность. Интеграции."
Бэкенд-разработчик,Backend Team Lead,7-9,"Go, Microservices, gRPC, Kubernetes, Strategy",Москва,200000,330000,Полная,Гибрид,"Стратегия. Архитектура. Управление командой."
Бэкенд-разработчик,Junior Backend Developer,1-2,"Python, Django, PostgreSQL, Git, REST",Регионы,55000,85000,Полная,Удалённо,"Изучение бэкенда. Помощь в разработке."
Python-разработчик,Python Developer,3-5,"Django, DRF, PostgreSQL, Celery, Docker",Москва,95000,160000,Полная,Да,"Веб-сервисы. Автоматизация. Аналитика."
Python-разработчик,Senior Python Developer,5-7,"FastAPI, SQLAlchemy, Redis, asyncio, AWS",Санкт-Петербург,140000,230000,Полная,Гибрид,"Асинхронные сервисы. Оптимизация. Менторство."
Python-разработчик,Python Developer (Data),4-6,"Flask, Pandas, Airflow, PostgreSQL, ETL",Москва,100000,170000,Полная,Удалённо,"Data pipelines. ETL. Скрипты автоматизации."
Python-разработчик,Python Architect,8-10,"Microservices, DDD, CQRS, Kubernetes, Security",Москва,230000,370000,Полная,Гибрид,"Архитектура корпоративных решений. Стратегия."
Python-разработчик,Junior Python Developer,1-2,"Python, Flask, SQLite, Git, Basic SQL",Регионы,50000,80000,Полная,Удалённо,"Изучение фреймворков. Помощь в задачах."
Data Scientist,Data Scientist,4-6,"Python, scikit-learn, Pandas, SQL, A/B Testing",Москва,125000,215000,Полная,Гибрид,"ML-модели. Визуализация. Эксперименты."
Data Scientist,Senior Data Scientist,6-8,"PyTorch, NLP, Transformers, MLOps, Kubernetes",Москва,175000,300000,Полная,Да,"Production ML. Архитектура. Менторство."
Data Scientist,Data Analyst,3-5,"Python, SQL, Tableau, Excel, Statistics",Санкт-Петербург,90000,150000,Полная,Гибрид,"Дашборды. Отчётность. Бизнес-аналитика."
Data Scientist,Data Scientist (NLP),4-6,"BERT, spaCy, HuggingFace, PyTorch, SQL",Москва,135000,230000,Полная,Да,"Текстовая аналитика. Классификация. NER."
Data Scientist,Junior Data Scientist,2-3,"Python, Pandas, scikit-learn, Jupyter, Git",Регионы,70000,110000,Полная,Удалённо,"Исследовательский анализ. Прототипирование."
Full Stack,Full Stack Developer,3-5,"React, Node.js, TypeScript, PostgreSQL, Docker",Москва,110000,185000,Полная,Гибрид,"End-to-end разработка. DevOps. Оптимизация."
Full Stack,Full Stack Lead,6-8,"Vue, Django, AWS, CI/CD, Team Leadership",Москва,180000,285000,Полная,Гибрид,"Управление командой. Архитектура. Стратегия."
Full Stack,Full Stack Developer (Python),4-6,"React, Python, FastAPI, MongoDB, Git",Санкт-Петербург,100000,165000,Полная,Удалённо,"Веб-приложения. API. Интеграции."
Full Stack,Junior Full Stack Developer,2-3,"JavaScript, Python, React, Flask, SQL",Регионы,65000,100000,Полная,Удалённо,"Разработка простых фич. Изучение стека."
Full Stack,Full Stack Architect,8-10,"Microservices, Cloud, Security, Scalability",Москва,225000,360000,Полная,Гибрид,"Архитектура распределённых систем. Стратегия."
Мобильный разработчик,iOS Developer,3-5,"Swift, SwiftUI, Combine, Core Data, REST",Москва,115000,195000,Полная,Гибрид,"Нативная разработка. Оптимизация. App Store."
Мобильный разработчик,Android Developer,3-5,"Kotlin, Jetpack Compose, Coroutines, Room",Санкт-Петербург,110000,190000,Полная,Да,"Нативная разработка. MVVM. Play Store."
Мобильный разработчик,Cross-platform Developer,3-5,"Flutter, Dart, Firebase, REST, Git",Москва,100000,165000,Полная,Удалённо,"Кроссплатформенные приложения. Интеграции."
Мобильный разработчик,Senior iOS Developer,5-7,"Swift, Architecture, CI/CD, Performance",Москва,165000,270000,Полная,Гибрид,"Архитектура. Оптимизация. Менторство."
Мобильный разработчик,Mobile Team Lead,7-9,"iOS/Android, Leadership, Strategy, CI/CD",Москва,195000,320000,Полная,Гибрид,"Управление мобильной командой. Стратегия."
Мобильный разработчик,Junior Mobile Developer,1-2,"Swift/Kotlin, Basic UI, REST, Git",Регионы,60000,95000,Полная,Удалённо,"Изучение мобильной разработки. Помощь."
ML Engineer,Machine Learning Engineer,4-6,"Python, PyTorch, MLOps, Docker, Feature Store",Москва,145000,250000,Полная,Гибрид,"Деплой моделей. Мониторинг. Инфраструктура."
ML Engineer,Senior ML Engineer,6-8,"Deep Learning, NLP, CV, Kubernetes, AWS",Москва,190000,320000,Полная,Да,"Сложные ML-системы. Архитектура. Менторство."
ML Engineer,ML Engineer (CV),4-6,"OpenCV, YOLO, PyTorch, Image Processing",Санкт-Петербург,135000,225000,Полная,Гибрид,"Компьютерное зрение. Детекция. Классификация."
ML Engineer,ML Engineer (NLP),4-6,"Transformers, BERT, spaCy, Text Analytics",Москва,140000,235000,Полная,Да,"Текстовые модели. NLP-пайплайны."
